번호,신분,소속,응답여부,응답일시,소속대학원,전공,세부전공,쿠카이브 기본 사항 관련 질문입니다.,어떠한 경로를 통해 쿠카이브를 처음 접했습니까?* 해당사항에 모두 표시,쿠카이브에서 이용해본 경험이 있는 영역에 모두 체크해주십시오.*해당 사항에 모두 표시,쿠카이브에서 자주 사용할(사용할 의향이 있는)것으로 예상되는 영역을 체크해주십시오.*해당사항 모두 표시,쿠카이브가 자신에게 필요하다고 생각하십니까?,쿠카이브 전반의 운영과 지원 만족도 관련 질문입니다.,쿠카이브 사용자 페이지의 전반적인 디자인과 화면은 이용하기 쉽게 구성되었다.,쿠카이브에서 제공하는 기능을 쉽게 이해하고 이용하였다.,전반적으로 쿠카이브에서는 참여자 관리와 활동 지원이 잘되고 있다.,쿠카이브 전반의 운영 및 지원과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,쿠카이브 서비스 안정도 관련 질문입니다.,쿠카이브 사용자 페이지에서 서비스를 이용하는 동안 서버 상태 및 웹 사이트 접속은 원활하였다.,쿠카이브에서 제공하는 기능이 원활하게 작동되었다.,쿠카이브 기능별 만족도 관련 질문입니다.,"쿠카이브 기능별 서비스(교과활동내역확인, 비교과프로그램 신청, 핵심역량진단, 통합 상담, 포트폴리오, 커뮤니티, 매뉴얼)는 전반적으로 만족스럽게 제공되고 있다",[교과 활동 내역 확인],쿠카이브에서 제공하는 “교과 활동(이수교과목 및 성적 조회 등)내역 확인”에 접속해본 경험이 있습니까?,"참여경험이 있는 경우, 쿠카이브를 통한 “교과 활동 내역(이수교과목 및 성적 조회 등)” 확인이 만족스럽게 제공되었다.",쿠카이브를 통한 “교과 활동 (이수교과목 및 성적 조회 등) 내역 확인”과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,[비교과 프로그램],쿠카이브에 개설된 교내 비교과 프로그램에 참여해본 경험이 있습니까?,"참여경험이 있는 경우, 쿠카이브를 통한 비교과 프로그램 정보는 쉽게 이해할 수 있다.",쿠카이브를 통한 교내 비교과 프로그램 신청이 만족스럽게 진행되었다.,쿠카이브를 통한 교내 비교과 프로그램 운영과 관리 서비스는 만족스럽게 제공되었다.,쿠카이브를 통한 비교과 프로그램과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,[핵심역량],쿠카이브를 통해 “핵심역량진단”에 참여해본 경험이 있습니까?,"참여경험이 있는 경우, 쿠카이브를 통한 “핵심역량진단” 참여와 결과 확인은 쉽게 확인할 수 있다.",쿠카이브를 통한 “핵심역량진단” 운영과 관리 서비스는 만족스럽게 제공되었다.,쿠카이브를 통한 “핵심역량진단”와 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,[통합상담],쿠카이브를 통해 &#34;통합상담&#34;에 참여해본 적이 있습니까?,"쿠카이브를 통한 통합 상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담) 신청이 만족스럽게 진행되었다.","쿠카이브를 통한 통합 상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)운영과 관리 서비스가 만족스럽게 진행되었다.","쿠카이브를 통한 통합 상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.",[포트폴리오],"쿠카이브에서 제공하는 “포트폴리오(이력서, 자기소개서, 포트폴리오)” 기능을 사용해보신 적이 있습니까?","쿠카이브의 “포트폴리오(이력서, 자기소개서, E-포트폴리오)” 기능이 만족스럽게 제공되었다.","쿠카이브에서 제공되는 “포트폴리오(이력서, 자기소개서, 포트폴리오)” 와 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.",[커뮤니티],"쿠카이브 &#39;커뮤니티(공지사항, 자료실, Q&#38;A, 일반설문, FAQ 등)에서 제공하는 기능을 사용해보신 적이 있습니까?","쿠카이브를 통한 “커뮤니티(공지사항,자료실,Q&#38;A , 일반설문, FAQ 등)”기능이 만족스럽게 제공되었다.","쿠카이브에서 제공되는 “커뮤니티(공지사항,자료실,Q&#38;A,일반설문,FAQ 등)” 와 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.",[매뉴얼],쿠카이브 “매뉴얼” 항목탭에 접속해보신 적이 있습니까?,쿠카이브에서 제공되는 “매뉴얼”과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,비교과과정 관련 질문입니다.,[비교과과정 기본 사항],교내 비교과 프로그램에 참여한 적이 있습니까?,평소 교내 비교과 프로그램의 정보를 어디에서 취득하고 계십니까? *해당 사항에 모두 표시,교내 비교과 프로그램에 참여할 때 가장 중요하게 생각하는 요소는 무엇입니까?,[비교과과정 만족도],우리대학은 다양한 비교과 프로그램을 개설 및 운영하고 있다,우리대학의 비교과 프로그램은 목표에 맞는 적절한 내용을 다룬다.,우리대학의 비교과 프로그램에 전반적으로 만족한다.,향후 개설되었으면 하는 교내 비교과 프로그램에는 무엇이 있습니까? 자유롭게 기술해주십시오.
1,학생(대학원),의과학과,응답,2023-12-23,의과대학,의과학과,의생명과학,,"학교 커뮤니티(고파스, 에브리타임 등)","통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)","통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)",그렇다.,,그렇다.,그렇다.,그렇다.,.,,보통이다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,그렇다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,타 비교과 프로그램을 통해서,,,,,,
2,학생(대학원),신소재공학과,응답,2023-12-09,일반대학원,신소재공학,신소재공학,,"학교 커뮤니티(고파스, 에브리타임 등),포털 공지사항","교과 활동(이수교과목 및 성적조회) 내역 확인,커뮤니티(공지사항, 자료실, Q&#38;A 등),증명서 발급(비교과프로그램, 법정의무교육 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심역량진단,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),포트폴리오(이력서, 자기소개서, 포트폴리오),커뮤니티(공지사항, 자료실, Q&#38;A 등),증명서 발급(비교과프로그램, 법정의무교육 등)",매우 그렇다.,,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,예 ?? &lt;문항 22&gt;로 이동,매우 그렇다.,,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,보통이다.,보통이다.,,,아니요 ??&lt;문항 33&gt;로 이동,보통이다.,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,매우 그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서,주변인(학과 친구, 학과 교수님 등)을 통해서",,,,,,
3,학생(대학원),전기전자공학과,응답,2023-12-09,공과대학원,전기전자,통신및네트워크,,"포털 공지사항,본 설문조사","교과 활동(이수교과목 및 성적조회) 내역 확인,증명서 발급(비교과프로그램, 법정의무교육 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,증명서 발급(비교과프로그램, 법정의무교육 등)",보통이다.,,보통이다.,보통이다.,보통이다.,,,보통이다.,보통이다.,,보통이다.,,예 ?? &lt;문항 22&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,각 부서/단과대학 홈페이지를 통해서,,,,,,
4,학생(대학원),도시재생협동과정,응답,2023-12-23,일반대학원,도시재생,도시재생,,"포털 공지사항,본 설문조사","비교과 프로그램,커뮤니티(공지사항, 자료실, Q&#38;A 등),증명서 발급(비교과프로그램, 법정의무교육 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,커뮤니티(공지사항, 자료실, Q&#38;A 등),증명서 발급(비교과프로그램, 법정의무교육 등)",보통이다.,,그렇다.,보통이다.,그렇다.,알람기능이 같이 있으면 좋겠습니다.,,그렇다.,그렇다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,특별히 없습니다.  만족스럽습니다.,,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,그렇다.,조금 더 다채로운 프로그램이 있으면 좋겠습니다.,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,보통이다.,특별한 건의사항은 없습니다.,,예 ??&lt;문항 44&gt;로 이동,조금더 활용매뉴얼에서 적극적인 방식 팝업 등으로 있으면 좋겠습니다.,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서,타 비교과 프로그램을 통해서","전공과의 연계성,경력인정(이수증)을 통한 스펙 쌓기",,보통이다.,그렇다.,그렇다.,논문 작성 실습 등 조금 더 활용도 높은 프로그램이 있으면 좋겠습니다.
5,학생(대학원),상담심리교육전공,응답,2023-12-09,교육대학원,상담심리교육,상담심리교육,,포털 공지사항,교과 활동(이수교과목 및 성적조회) 내역 확인,교과 활동(이수교과목 및 성적조회) 내역 확인,전혀 그렇지 않다.,,전혀 그렇지 않다.,전혀 그렇지 않다.,전혀 그렇지 않다.,쿠카이브를 큐피드로 일괄 통합하여 운영하는 게 나을 거 같다,,전혀 그렇지 않다.,전혀 그렇지 않다.,,전혀 그렇지 않다.,,예 ?? &lt;문항 22&gt;로 이동,보통이다.,이수 교과목에 교강사명 표기,,아니요 ??&lt;문항 29&gt;로 이동,전혀 그렇지 않다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,전혀 그렇지 않다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,전혀 그렇지 않다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,기타,"취미, 흥미",,전혀 그렇지 않다.,전혀 그렇지 않다.,전혀 그렇지 않다.,발레
6,학생(대학원),경영학과,응답,2023-12-11,경영대학,경영학과,재무금융,,"학교 커뮤니티(고파스, 에브리타임 등),포털 공지사항","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램","비교과 프로그램,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),포트폴리오(이력서, 자기소개서, 포트폴리오)",그렇다.,,그렇다.,그렇다.,그렇다.,,,그렇다.,그렇다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서","취미, 흥미,전공과의 연계성,경력인정(이수증)을 통한 스펙 쌓기",,그렇다.,그렇다.,그렇다.,
7,학생(대학원),정치외교학과,응답,2023-12-24,정치외교,정치외교,비교정치,,"주변인(동기, 직장동료 등),학교 커뮤니티(고파스, 에브리타임 등)","핵심 역량 진단 검사,포트폴리오(이력서,자기소개서,포트폴리오),커뮤니티(공지사항, 자료실, Q&#38;A 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,포트폴리오(이력서, 자기소개서, 포트폴리오)",보통이다.,,그렇다.,그렇다.,보통이다.,,,그렇다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,그렇다.,그렇다.,그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,그렇다.,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서",,,,,,
8,학생(대학원),스마트제조학과,응답,2023-12-11,공학대학원,스마트제조학과,,,교내 부서의 비교과 안내문,"비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)","비교과 프로그램,포트폴리오(이력서, 자기소개서, 포트폴리오)",그렇다.,,보통이다.,보통이다.,그렇다.,포털 시스템에서 자연스럽게 연결이 되었으면 좋겠습니다. 같은 계정으로 로그인하는데 너무 동떨어진 별도의 시스템처럼 느껴집니다.,,매우 그렇다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,보통이다.,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,다양한 프로그램 구성에 만족합니다.,,아니요 ??&lt;문항 33&gt;로 이동,보통이다.,보통이다.,잘못 누름,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,내용 확인 잘 하고 있습니다.,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,교내 단체메일을 통해서,"취미, 흥미,경력인정(이수증)을 통한 스펙 쌓기",,그렇다.,그렇다.,매우 그렇다.,"Mac의 FinalCutPro, Compressor, Motion, LogicPro, MainStage 등"
9,학생(대학원),국제학과,응답,2023-12-23,국제대학원,국제학과,없음,,포털 공지사항,"커뮤니티(공지사항, 자료실, Q&#38;A 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),커뮤니티(공지사항, 자료실, Q&#38;A 등)",매우 그렇다.,,그렇다.,그렇다.,그렇다.,없습니다,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,매우 그렇다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,매우 그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,매우 그렇다.,없습니다,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,쿠카이브를 통해서,"취미, 흥미,전공과의 연계성,경력인정(이수증)을 통한 스펙 쌓기",,보통이다.,그렇다.,보통이다.,
10,학생(대학원),국제학과,응답,2023-12-09,국제대학원,국제학과,IPS,,"학교 커뮤니티(고파스, 에브리타임 등),포털 공지사항","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램","교과 활동(이수교과목 및 성적조회) 내역 확인,커뮤니티(공지사항, 자료실, Q&#38;A 등)",그렇다.,,그렇다.,그렇다.,그렇다.,,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,예 ?? &lt;문항 22&gt;로 이동,매우 그렇다.,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,그렇다.,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,매우 그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,쿠카이브를 통해서,"취미, 흥미,진로탐색",,그렇다.,그렇다.,그렇다.,
11,학생(대학원),에너지환경정책기술학과,응답,2023-12-28,에너지환경대학원,신재생에너지과,연료전지,,본 설문조사,비교과 프로그램,비교과 프로그램,그렇다.,,보통이다.,그렇지 않다.,보통이다.,.,,보통이다.,보통이다.,,보통이다.,,아니요 ??&lt;문항 24&gt;로 이동,보통이다.,.,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,보통이다.,그렇다.,.,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"주변인(학과 친구, 학과 교수님 등)을 통해서",,,,,,
12,학생(대학원),전기전자공학과,응답,2023-12-11,일반대학원 공과대학,전기전자공학과,반도체및나노,,포털 공지사항,"커뮤니티(공지사항, 자료실, Q&#38;A 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,커뮤니티(공지사항, 자료실, Q&#38;A 등)",매우 그렇다.,,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,매우 그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,교내 단체메일을 통해서,전공과의 연계성,,매우 그렇다.,매우 그렇다.,매우 그렇다.,
13,학생(대학원),금융보안학과,응답,2023-11-14,정보보호대학원,금융보안학과,블록체인,,"학교 커뮤니티(고파스, 에브리타임 등)","비교과 프로그램,핵심 역량 진단 검사","핵심역량진단,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,그렇다.,그렇다.,보통이다.,,,보통이다.,보통이다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,매우 그렇다.,,,예 ??&lt;문항 30&gt;로 이동,그렇다.,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,교내 단체메일을 통해서","진로탐색,전공과의 연계성",,보통이다.,그렇다.,보통이다.,
14,학생(대학원),금융보안학과,응답,2023-12-09,정보보호대학원,금융보안,블록체인,,"학교 커뮤니티(고파스, 에브리타임 등),포털 공지사항","비교과 프로그램,커뮤니티(공지사항, 자료실, Q&#38;A 등)",비교과 프로그램,그렇지 않다.,,그렇지 않다.,보통이다.,보통이다.,고려대 포탈과 쿠카이브 등 너무 고려대 사이트들이 파편화돼있어서 일원화할 필요가 있다고 생각합니다.,,매우 그렇다.,매우 그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,보통이다.,그렇다.,뒤로가기가 잘 동작했으면 좋겠습니다.,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,교내 단체메일을 통해서,"취미, 흥미,진로탐색,경력인정(이수증)을 통한 스펙 쌓기",,그렇다.,보통이다.,그렇다.,인공지능 활용
15,학생(대학원),보건정책및병원관리학과,응답,2023-12-27,보건대학원,보건정책및 병원관리학과,보건정책및 병원관리학과,,포털 공지사항,"증명서 발급(비교과프로그램, 법정의무교육 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,증명서 발급(비교과프로그램, 법정의무교육 등)",보통이다.,,보통이다.,보통이다.,보통이다.,,,보통이다.,보통이다.,,보통이다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서,주변인(학과 친구, 학과 교수님 등)을 통해서",,,,,,
16,학생(대학원),에너지환경정책기술학과,응답,2023-12-22,에너지환경대학원,에너지환경정책기술학과,신재생에너지,,"포털 공지사항,교내 부서의 비교과 안내문",비교과 프로그램,"비교과 프로그램,핵심역량진단,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)",그렇다.,,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,교내 단체메일을 통해서","진로탐색,전공과의 연계성,정신 건강 및 웰빙",,매우 그렇다.,매우 그렇다.,매우 그렇다.,
17,학생(대학원),국제지역보건학과,응답,2023-12-23,보건대학원,보건학,국제보건,,본 설문조사,"증명서 발급(비교과프로그램, 법정의무교육 등)","통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)",매우 그렇다.,,보통이다.,보통이다.,보통이다.,,,보통이다.,보통이다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,각 부서/단과대학 홈페이지를 통해서,,,,,,
18,학생(대학원),평생교육전공,응답,2023-12-25,교육대학원,평생교육,평생교육,,포털 공지사항,"교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),커뮤니티(공지사항, 자료실, Q&#38;A 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,핵심역량진단,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),커뮤니티(공지사항, 자료실, Q&#38;A 등)",매우 그렇다.,,매우 그렇다.,매우 그렇다.,매우 그렇다.,이메일 홍보를 통해서 학생들의 참여를 유도하는 면이 좋았습니다.,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,예 ?? &lt;문항 22&gt;로 이동,매우 그렇다.,"교수님들 중에는 학기 중에 성적 업데이트를 하지 않는 경우가 있습니다. 최종 성적만 열람이 되죠. 교수님들과의 협조를 통해서 출격, 과제, 중간 고사등 중간에 성적 확인이 가능할 수 있으면 좋겠습니다.",,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,비교과 강좌를 접할 수 있어서 유익했습니다. 관계자 여러분의 수고에 감사드립니다.,,예 ??&lt;문항 30&gt;로 이동,매우 그렇다.,매우 그렇다.,자신의 장단점을 파악할 수 있어서 좋았습니다.,,예 ?? &lt;문항 34&gt;로 이동,매우 그렇다.,매우 그렇다.,"장애학생지원상담, 심리상담 등 학생들이 고려대에서 특별한 관리를 받고 있다는 것을 느낄 수 있었습니다. 세심한 기획력에 감사드립니다.",,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,매우 그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,쿠카이브를 통해서,"취미, 흥미,전공과의 연계성,경력인정(이수증)을 통한 스펙 쌓기,정신 건강 및 웰빙",,매우 그렇다.,매우 그렇다.,매우 그렇다.,"스피치 교육, 이미지 메이킹, 영상제작"
19,학생(대학원),보험계리금융공학협동과정,응답,2023-12-30,이과대학,보험계리금융공학융합과정,금융공학,,포털 공지사항,"교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)",보통이다.,,보통이다.,보통이다.,보통이다.,없습니다,,보통이다.,그렇다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,없습니다,,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,그렇다.,없습니다,,아니요 ??&lt;문항 33&gt;로 이동,보통이다.,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,교내 단체메일을 통해서,"취미, 흥미,경력인정(이수증)을 통한 스펙 쌓기",,보통이다.,보통이다.,보통이다.,없습니다
20,학생(대학원),간호교육전공,응답,2023-12-27,교육대학원,간호교육,간호교육,,포털 공지사항,교과 활동(이수교과목 및 성적조회) 내역 확인,"교과 활동(이수교과목 및 성적조회) 내역 확인,증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,그렇다.,매우 그렇다.,그렇다.,-,,그렇다.,그렇다.,,매우 그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,-,,아니요 ??&lt;문항 29&gt;로 이동,그렇다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇다.,,,예 ??&lt;문항 44&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,쿠카이브를 통해서,,,,,,-
