School,1Q scoring,2Q scoring,3Q scoring,4Q scoring,EX scoring,Total scoring,MIN,M(2P),A(2P),%(2P),M(3P),A(3P),%(3P),FG%,M(FT),A(FT),&(FT),DK,S(FB),F(FB),OR(rebounds),DR(rebounds),TOT(rebounds),AS,ST,GD,BS,W(PF),WO(PF),TOT(PF),FD,TO,TF,WIN
Y,29,23,29,9,0,90,200,24,49,49,7,27,26,41,21,26,81,0,10,5,16,23,39,15,13,2,2,12,8,20,24,9,0,1
K,18,15,24,25,0,82,200,21,37,57,7,27,26,44,19,22,86,0,6,2,10,24,34,11,7,0,1,14,10,24,20,18,0,0
,24,19,22,19,0,84,200,25,44,57,8,24,33,49,10,18,56,1,7,3,8,29,37,14,16,3,0,8,10,18,21,13,0,1
,21,11,15,11,0,58,200,16,32,50,5,33,15,32,11,16,69,0,6,3,15,27,42,14,6,2,4,10,11,21,18,20,0,0
,18,21,17,23,0,79,200,28,61,46,3,11,27,43,14,23,61,0,5,2,13,33,46,13,7,1,2,16,5,21,18,13,0,1
,21,17,16,20,0,74,200,27,56,48,2,17,12,40,14,28,50,3,6,3,14,27,41,15,3,1,4,13,5,18,21,9,0,0
Y,32,21,31,18,0,102,200,28,49,57,11,24,46,53,13,14,93,0,9,3,13,28,41,23,13,1,5,7,11,18,15,19,0,1
,17,20,12,25,0,74,200,20,45,44,8,24,33,41,10,14,71,0,8,4,11,18,29,13,12,3,0,8,7,15,18,18,0,0
,12,13,21,22,0,68,200,14,39,36,10,32,31,34,10,18,56,0,5,1,17,23,40,16,13,0,0,9,9,18,16,12,0,1
,11,8,21,16,0,56,200,20,42,48,2,16,13,38,10,18,56,0,2,4,11,25,36,10,7,1,7,10,6,16,18,16,0,0
K,29,14,32,28,0,103,200,36,60,60,7,25,28,51,10,15,67,2,15,2,20,32,52,24,12,1,5,5,8,13,12,12,0,1
,15,16,13,22,0,66,200,17,41,41,8,31,26,35,8,9,89,0,6,0,11,21,32,15,8,0,6,10,2,12,13,16,0,0
,20,23,20,20,0,83,200,22,34,65,8,28,29,48,15,17,88,0,8,1,9,27,36,23,8,1,2,8,10,18,16,13,0,1
,22,18,13,23,0,76,200,19,42,45,9,25,36,42,11,16,69,0,5,1,12,19,31,23,8,1,0,9,7,16,18,11,0,0
,28,26,17,20,0,91,200,28,50,56,9,20,45,53,8,12,67,0,9,4,8,19,27,24,19,1,5,9,12,21,11,12,0,1
,15,27,22,15,0,79,200,22,53,42,7,21,33,39,14,18,78,1,7,7,22,22,44,18,9,1,3,6,5,11,21,23,0,0
,13,18,22,16,0,69,200,14,34,41,11,27,41,41,8,22,36,0,5,0,4,26,30,15,6,0,5,9,6,15,21,14,0,0
,25,27,16,17,0,85,200,23,53,43,9,19,47,44,12,17,71,0,9,1,11,31,42,22,10,0,6,11,10,21,15,12,0,1
,13,10,20,22,0,65,200,17,35,49,9,32,28,39,4,7,57,0,4,1,8,18,26,13,9,1,0,5,12,17,12,19,0,0
,20,22,16,18,0,76,200,35,62,56,0,14,0,46,6,9,67,0,12,4,16,27,43,18,12,1,2,4,8,12,178,17,0,1
,23,19,18,16,0,76,200,21,35,60,8,32,25,43,10,12,83,0,6,3,8,21,29,12,11,1,2,4,9,13,17,7,0,0
K,15,18,23,23,0,79,200,25,42,60,8,27,30,48,5,6,83,1,6,0,11,26,37,23,5,0,2,7,10,17,13,13,1,1
,8,13,18,14,0,53,200,17,34,50,4,29,14,33,7,12,58,0,7,1,9,20,29,13,9,0,4,11,9,20,10,12,0,0
,21,13,17,28,0,79,200,24,40,60,6,20,30,50,13,20,65,0,2,0,11,30,41,11,6,1,4,6,4,10,20,13,0,1
,20,21,18,6,0,65,200,16,42,38,7,26,27,34,12,15,80,0,5,2,13,20,33,14,11,0,5,8,9,17,15,14,1,0
Y,18,26,22,19,0,85,200,25,62,40,8,22,36,39,11,14,79,0,9,3,25,30,55,14,9,3,3,8,7,15,17,12,0,1
Y,18,13,25,21,0,77,200,20,40,50,6,29,21,38,19,26,73,0,7,1,18,20,38,13,9,2,2,16,11,27,23,15,1,0
,28,13,16,23,0,80,200,22,46,48,4,16,25,42,24,29,83,0,6,3,10,24,34,16,9,2,0,14,9,23,27,16,0,1
,27,10,20,23,0,80,200,23,48,48,8,30,27,40,10,11,91,0,7,3,10,22,32,19,11,2,4,7,7,14,18,14,0,0
,19,27,31,23,0,100,200,26,50,52,13,33,39,47,9,13,69,0,8,3,17,34,51,25,9,0,4,6,12,18,14,16,0,1
,14,22,18,21,0,75,200,26,49,53,4,22,18,42,11,11,100,0,12,2,6,26,32,18,12,0,6,11,11,22,15,20,0,0
,18,22,20,24,0,84,200,29,59,49,4,18,22,43,14,21,67,0,9,2,15,30,45,21,13,3,2,5,10,15,22,19,0,1
